outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
binary,S2,0.5878,standard_uip,1000,0.846,0.011414201680362933,0.807,0.012480024038438387,0.3778348681433443,0.5490695645967719,300.0,
binary,S3,0.0,no_borrowing,1000,0.066,0.007851369307324678,0.93,0.008068457101577721,0.014765810376803263,0.42826802942533865,0.0,
binary,S3,0.0,pooling,1000,0.83,0.0118785521003193,0.239,0.01348625225924534,0.669946869181699,0.7192824007609283,300.0,
binary,S3,0.0,ps_power_prior,1000,0.241,0.013524755080961725,0.845,0.011444430960078356,0.32266920432644336,0.4669241163104769,60.0,
binary,S3,0.0,ps_uip_c,1000,0.168,0.011822690049223147,0.848,0.011353237423748348,0.0880059676308681,0.4710946540495051,42.233443442707014,
binary,S3,0.0,standard_uip,1000,0.607,0.015445096309184997,0.496,0.01581088232832058,0.5696647117126911,0.6462548986107753,300.0,
binary,S3,0.5878,no_borrowing,1000,0.506,0.015810249839898167,0.922,0.008480330182251158,0.07097965053278973,0.4280213435751462,0.0,
binary,S3,0.5878,pooling,1000,0.999,0.0009994998749374613,0.232,0.013348258313353095,0.6881488782671091,0.7374125239042438,300.0,
binary,S3,0.5878,ps_power_prior,1000,0.902,0.009401914698613255,0.792,0.012834952278836098,0.3888067973104826,0.5161213333470246,60.0,
binary,S3,0.5878,ps_uip_c,1000,0.588,0.01556457516284977,0.824,0.012042591083317579,0.15577943370426464,0.4915344730031477,44.49827289524446,
binary,S3,0.5878,standard_uip,1000,0.992,0.0028170906978654425,0.386,0.015394934231752989,0.6463329445297221,0.7174948977790429,300.0,
continuous,I,0.0,no_borrowing,1000,0.053,0.00708456067798138,0.944,0.007270763371201131,-0.0010943813124629097,0.1615452206565419,0.0,
continuous,I,0.0,pooling,1000,0.041,0.006270486424512854,0.957,0.006414904519944161,-0.0023743456326251913,0.10134438523794086,300.0,
continuous,I,0.0,ps_power_prior,1000,0.027,0.00512552436341883,0.966,0.005730968504537434,-0.002084952532282042,0.11676595941559728,60.0,
