outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
binary,R1,0.0,ps_uip_c,1000,0.07,0.008068457101577725,0.916,0.008771772910877251,-0.0035451785046031665,0.3632705471199512,36.97688059056399,
binary,R1,0.0,standard_uip,1000,0.069,0.008014923580421713,0.939,0.007568289106528638,0.02222034900157707,0.32051319033393605,300.0,
binary,R1,0.5878,no_borrowing,1000,0.558,0.01570464899321217,0.936,0.007739767438366605,0.04363886883068757,0.3756741425746047,0.0,
binary,R1,0.5878,pooling,1000,0.739,0.013888088421377507,0.934,0.007851369307324675,0.0678523202642112,0.3028904715195252,300.0,
binary,R1,0.5878,ps_power_prior,1000,0.707,0.014392741226048637,0.89,0.009894442884771228,0.09117252895831875,0.36023594552981136,80.46485711625506,
binary,R1,0.5878,ps_uip_c,1000,0.619,0.015357050498061143,0.91,0.009049861877399012,0.04759837781226997,0.3695260151309882,36.402827597812866,
binary,R1,0.5878,standard_uip,1000,0.7,0.014491376746189439,0.929,0.008121514637061239,0.08507525817868344,0.33153561132777526,300.0,
binary,R2,0.0,no_borrowing,1000,0.05,0.006892024376045111,0.942,0.007391616873188169,-0.0029011465910054363,0.3637030925308473,0.0,
binary,R2,0.0,pooling,1000,0.061,0.0075682891065286355,0.939,0.007568289106528638,0.029252790313009,0.2940243162693748,300.0,
binary,R2,0.0,ps_power_prior,1000,0.08,0.008579044235810887,0.942,0.007391616873188169,0.02708052208321439,0.3306128431125776,76.97209668655408,
binary,R2,0.0,ps_uip_c,1000,0.064,0.007739767438366608,0.927,0.008226238508577293,-8.259129206934679e-05,0.3536406778518727,38.60947935420447,
binary,R2,0.0,standard_uip,1000,0.056,0.007270763371201128,0.947,0.007084560677981384,0.0284581199778938,0.3131639111032836,300.0,
binary,R2,0.5878,no_borrowing,1000,0.574,0.015637263187655313,0.938,0.00762600813007697,0.05388269680128408,0.36963144085658417,0.0,
binary,R2,0.5878,pooling,1000,0.732,0.014006284303840188,0.93,0.008068457101577721,0.0732059837021811,0.31354183835823074,300.0,
binary,R2,0.5878,ps_power_prior,1000,0.7,0.014491376746189439,0.907,0.009184280047995052,0.08712956742780252,0.3552860857820419,76.14926226333846,
binary,R2,0.5878,ps_uip_c,1000,0.637,0.015206281596761254,0.917,0.008724161850859943,0.05910044637020123,0.3612949380081576,40.22552598270658,
binary,R2,0.5878,standard_uip,1000,0.703,0.014449602070645405,0.931,0.008014923580421711,0.08690682203103807,0.33340214243290595,300.0,
binary,S1,0.0,no_borrowing,1000,0.051,0.00695693898205238,0.944,0.007270763371201131,0.008072804530797489,0.36190340241550756,0.0,
binary,S1,0.0,pooling,1000,0.0,0.0,0.333,0.014903388876359632,-0.6246494459542032,0.6789235769115842,300.0,
binary,S1,0.0,ps_power_prior,1000,0.0,0.0,0.695,0.014559361249725209,-0.42738634039590156,0.519489195913066,100.0,
binary,S1,0.0,ps_uip_c,1000,0.049,0.006826346021115542,0.928,0.00817410545564467,-0.0025443677025371995,0.37242447288904745,8.832810582965783,
binary,S1,0.0,standard_uip,1000,0.0,0.0,0.42,0.015607690412101338,-0.6050546086339416,0.6706676986175636,300.0,
binary,S1,0.5878,no_borrowing,1000,0.573,0.015641962792437528,0.924,0.008379976133617564,0.06249466378260496,0.37319364080684236,0.0,
binary,S1,0.5878,pooling,1000,0.045,0.0065555320150236475,0.371,0.015276092432294327,-0.5925068891504065,0.6462118925979288,300.0,
binary,S1,0.5878,ps_power_prior,1000,0.176,0.012042591083317577,0.76,0.013505554412907307,-0.3747484962376516,0.4710982255027845,100.0,
binary,S1,0.5878,ps_uip_c,1000,0.565,0.015677212762477903,0.903,0.009359006357514668,0.04760773150392287,0.3836387184066741,11.177714691268502,
binary,S1,0.5878,standard_uip,1000,0.07,0.008068457101577725,0.49,0.0158082257068907,-0.5484360192460107,0.613447291582857,300.0,
binary,S2,0.0,no_borrowing,1000,0.057,0.007331507348424334,0.932,0.00796090447122687,-0.006240917878386141,0.3798945436896523,0.0,
