outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
continuous,S1,0.4,ps_sam,1000,0.842,0.011534123287012326,0.937,0.007683163410991592,-0.006951847040943307,0.15723610182130984,2.320566314814807,
continuous,S1,0.4,ps_uip_c,1000,0.85,0.011291589790636216,0.938,0.00762600813007697,-0.0036153565989185594,0.1521330579572497,0.030245544076954563,
continuous,S1,0.4,ps_uip_psonly,1000,0.848,0.011353237423748348,0.913,0.008912407082264588,-0.01165072585094155,0.1582617340710188,6.316430103732935,
continuous,S1,0.4,standard_uip,1000,0.01,0.003146426544510455,0.024,0.004839834707921336,-0.48355892526787353,0.4987717516653549,300.0,
continuous,S2,0.0,no_borrowing,1000,0.043,0.006414904519944158,0.947,0.007084560677981384,-0.0003732756452742385,0.14288993455182578,0.0,
continuous,S2,0.0,ps_power_prior,1000,0.447,0.015722308990730335,0.61,0.01542400726140908,0.21267625873603258,0.3036194654356477,28.08802187463134,
continuous,S2,0.0,ps_sam,1000,0.085,0.008819013550278738,0.935,0.0077958322198467015,0.028254947996424962,0.15211730098765194,6.1193026655805465,
continuous,S2,0.0,ps_uip_c,1000,0.047,0.006692607862410586,0.946,0.0071473071852271785,0.0017374484723316384,0.14309719424764128,1.8351507736716748,
continuous,S2,0.0,ps_uip_psonly,1000,0.049,0.006826346021115542,0.945,0.007209368904418752,0.003745690814488502,0.14389553837763971,3.16485647401584,
continuous,S2,0.0,standard_uip,1000,0.714,0.014289996501049257,0.387,0.015402305022301045,0.3066546088679864,0.3356170560549524,300.0,
continuous,S2,0.4,no_borrowing,1000,0.875,0.010458250331675944,0.965,0.005811626278418119,0.000954489228792111,0.1424452098228699,0.0,
continuous,S2,0.4,ps_power_prior,1000,0.986,0.0037153734670958734,0.59,0.01555313473226539,0.22186611919320115,0.3082601051437173,28.424122869775537,
continuous,S2,0.4,ps_sam,1000,0.912,0.008958571314668425,0.935,0.0077958322198467015,0.032939947707302346,0.15268296819499677,6.191188823238726,
continuous,S2,0.4,ps_uip_c,1000,0.876,0.010422283818818216,0.955,0.00655553201502365,0.0026015574492173404,0.1427915116130548,1.6978974083933505,
continuous,S2,0.4,ps_uip_psonly,1000,0.878,0.010349685985574635,0.954,0.006624499981130654,0.005098599258360856,0.14265461410549937,3.136466504071394,
continuous,S2,0.4,standard_uip,1000,0.999,0.0009994998749374613,0.382,0.01536476488593301,0.3082596208911583,0.33866830897607414,300.0,
continuous,S3,0.0,no_borrowing,1000,0.051,0.00695693898205238,0.945,0.007209368904418752,-0.002305959536659841,0.14410220881139765,0.0,
continuous,S3,0.0,ps_power_prior,1000,0.855,0.011134406135937382,0.217,0.013034991369387246,0.3445332060864571,0.3650008113988632,100.0,
continuous,S3,0.0,ps_sam,1000,0.054,0.007147307185227175,0.948,0.007021111023192843,0.0012884266119859028,0.15017373384455074,2.707936515618972,
continuous,S3,0.0,ps_uip_c,1000,0.047,0.006692607862410586,0.946,0.0071473071852271785,-0.0019754757155626378,0.1436491654276583,0.15013602358078956,
continuous,S3,0.0,ps_uip_psonly,1000,0.073,0.008226238508577295,0.929,0.008121514637061239,0.005488588746886113,0.1500123252340321,6.0716835647751575,
continuous,S3,0.0,standard_uip,1000,0.988,0.003443254274665176,0.022,0.0046385342512479085,0.4759944567163999,0.49039775945170566,300.0,
continuous,S3,0.4,no_borrowing,1000,0.877,0.010386096475577337,0.953,0.00669260786241059,0.00048143055803770164,0.1422907240806436,0.0,
continuous,S3,0.4,ps_power_prior,1000,1.0,0.0,0.205,0.0127661662216971,0.3455976905140129,0.3652052650533619,100.0,
continuous,S3,0.4,ps_sam,1000,0.875,0.010458250331675944,0.948,0.007021111023192843,0.004709716998518622,0.14858712411243866,3.249678708929296,
